{artist_name:Depeche Mode,genre:classic rock,number_of_listeners:14042464,link:@Depeche Mode,most_popular_track:Everything,latest_release:Leather And Lace}
{artist_name:Placebo,genre:trap,number_of_listeners:38877262,link:@Placebo,most_popular_track:Water fountain,latest_release:How Can I Make It OK?}
{artist_name:One Direction,genre:glam rock,number_of_listeners:73750340,link:@One Direction,most_popular_track:Summertime Sadness,latest_release:Runaway Baby}
{artist_name:Harry Styles,genre:hard rock,number_of_listeners:96522500,link:@Harry Styles,most_popular_track:Eye Opener,latest_release:Heat Waves}
{artist_name:Machine Gun Kelly,genre:metalcore,number_of_listeners:7075541,link:@Machine Gun Kelly,most_popular_track:Dark Red,latest_release:Can't Stop}
{artist_name:The Prodigy,genre:disco,number_of_listeners:35119962,link:@The Prodigy,most_popular_track:Leather And Lace,latest_release:Fuel To Fire}
{artist_name:BTS,genre:alternative rock,number_of_listeners:91281098,link:@BTS,most_popular_track:Kokomo,latest_release:Rampampam}
{artist_name:Blackpink,genre:jazz,number_of_listeners:15189830,link:@Blackpink,most_popular_track:Pump Up The Jam,latest_release:Runaway}
{artist_name:Deep Purple,genre:trap,number_of_listeners:90895321,link:@Deep Purple,most_popular_track:Thank God I'm A Country Boy,latest_release:Salt}
{artist_name:Gorillaz,genre:electro music,number_of_listeners:70474241,link:@Gorillaz,most_popular_track:Bad Romance,latest_release:I Still Have Faith In You}
{artist_name:Christina Aguilera,genre:rap rock,number_of_listeners:83084886,link:@Christina Aguilera,most_popular_track:Sympathy,latest_release:Witch Hunt}
{artist_name:Britney Spears,genre:pop rock,number_of_listeners:47083237,link:@Britney Spears,most_popular_track:By Myself,latest_release:LightHouse}
{artist_name:Editors,genre:country,number_of_listeners:45666528,link:@Editors,most_popular_track:Don't Go Yet,latest_release:Skate}
{artist_name:Our Last Night,genre:pop,number_of_listeners:68041221,link:@Our Last Night,most_popular_track:If You Really Love Me (How Will I Know),latest_release:Get You Down}
{artist_name:Sex Pistols,genre:hard rock,number_of_listeners:59436414,link:@Sex Pistols,most_popular_track:Dancing Queen,latest_release:love nwantiti}
{artist_name:The Killers,genre:electro music,number_of_listeners:49170774,link:@The Killers,most_popular_track:One Night,latest_release:Super Trouper}
{artist_name:Florence + the Machine,genre:rock,number_of_listeners:90316076,link:@Florence + the Machine,most_popular_track:Power,latest_release:Once In A While}
{artist_name:Amy Winehouse,genre:electro music,number_of_listeners:83159641,link:@Amy Winehouse,most_popular_track:Don't Go Yet,latest_release:Fly Away}
{artist_name:Sia,genre:hard rock,number_of_listeners:57318310,link:@Sia,most_popular_track:Ways To Disappear,latest_release:All I Know So Far}
{artist_name:P!nk,genre:rap,number_of_listeners:62682486,link:@P!nk,most_popular_track:Space Melody,latest_release:Little Bit of Love}
{artist_name:Genesis,genre:pop rock,number_of_listeners:75713897,link:@Genesis,most_popular_track:The Sun,latest_release:Roses}
{artist_name:Beyonce,genre:disco,number_of_listeners:30918834,link:@Beyonce,most_popular_track:Another Brick In The Wall,latest_release:White Lies}
{artist_name:Kelly Clarkson,genre:hard rock,number_of_listeners:79203983,link:@Kelly Clarkson,most_popular_track:Believe Me,latest_release:Cure (reimagined)}
{artist_name:Enter Shikari,genre:metal,number_of_listeners:6875510,link:@Enter Shikari,most_popular_track:One Step Closer,latest_release:Moustache}
{artist_name:Black Veil Brides,genre:metal,number_of_listeners:97782758,link:@Black Veil Brides,most_popular_track:White Rabbit,latest_release:rockstar}
{artist_name:Skillet,genre:jazz,number_of_listeners:32032522,link:@Skillet,most_popular_track:Love Tonight,latest_release:Father And Son}
{artist_name:The Neighbourhood,genre:disco,number_of_listeners:76628862,link:@The Neighbourhood,most_popular_track:Bloodstream,latest_release:Freaks}
{artist_name:Shakira,genre:classic rock,number_of_listeners:84046224,link:@Shakira,most_popular_track:Time of Dying,latest_release:First In Line}
{artist_name:Fall Out Boy,genre:rap,number_of_listeners:47081060,link:@Fall Out Boy,most_popular_track:Summer 91 (Looking Back),latest_release:Someone}
{artist_name:Panic! At The Disco,genre:hard rock,number_of_listeners:89748631,link:@Panic! At The Disco,most_popular_track:Alone,latest_release:Fantasy}
{artist_name:I See Stars,genre:trap,number_of_listeners:1537908,link:@I See Stars,most_popular_track:Wasted Love,latest_release:White Rabbit}
{artist_name:Caskets,genre:punk rock,number_of_listeners:42175121,link:@Caskets,most_popular_track:Holding Me Down,latest_release:My Head and My Heart}
{artist_name:Scorpions,genre:jazz,number_of_listeners:72622333,link:@Scorpions,most_popular_track:Jalebi Baby,latest_release:Carnival of Rust}
{artist_name:System Of A Down,genre:disco,number_of_listeners:12402946,link:@System Of A Down,most_popular_track:Good 4 U,latest_release:The Business}
{artist_name:Zero Horizon,genre:pop rap,number_of_listeners:19962602,link:@Zero Horizon,most_popular_track:Youth,latest_release:Understand Your Man}
{artist_name:All Time Low,genre:country,number_of_listeners:98029903,link:@All Time Low,most_popular_track:Father And Son,latest_release:The Magic Key}
{artist_name:Imagine Dragons,genre:latin music,number_of_listeners:99880178,link:@Imagine Dragons,most_popular_track:My Life Is Going On,latest_release:Everything Fades}
{artist_name:Annisokay,genre:rap,number_of_listeners:77288244,link:@Annisokay,most_popular_track:Sweet Dreams,latest_release:Young Folks}
{artist_name:Hollywood Undead,genre:rave,number_of_listeners:73707150,link:@Hollywood Undead,most_popular_track:Unstoppable,latest_release:Secrets}
{artist_name:A Day To Remember,genre:hip hop,number_of_listeners:147964,link:@A Day To Remember,most_popular_track:Unstoppable,latest_release:Money Money Money}
{artist_name:Rise Against,genre:rap,number_of_listeners:38812235,link:@Rise Against,most_popular_track:Borrowed Time,latest_release:Piano Banana}
{artist_name:I Prevail,genre:indie pop,number_of_listeners:13859552,link:@I Prevail,most_popular_track:Believer,latest_release:Crawling}
{artist_name:Falling In Reverse,genre:metal,number_of_listeners:42025598,link:@Falling In Reverse,most_popular_track:You Could Be,latest_release:Can't Stop}
{artist_name:My Chemical Romance,genre:hip hop,number_of_listeners:56708712,link:@My Chemical Romance,most_popular_track:Cure (reimagined),latest_release:Kingston Town}
{artist_name:Crown The Empire,genre:heavy metal,number_of_listeners:70262953,link:@Crown The Empire,most_popular_track:City Of Stars,latest_release:My Way}
{artist_name:Bad Omens,genre:country,number_of_listeners:17339243,link:@Bad Omens,most_popular_track:Therefore I Am,latest_release:Rampampam}
{artist_name:Royal Blood,genre:pop rap,number_of_listeners:47940810,link:@Royal Blood,most_popular_track:Alone (Alternative Mix),latest_release:Don't Break the Heart}
{artist_name:Wildways,genre:gospel music,number_of_listeners:58781216,link:@Wildways,most_popular_track:Human,latest_release:If You Ever Leave I'm Coming with You}
{artist_name:Slaves,genre:electro music,number_of_listeners:3252383,link:@Slaves,most_popular_track:Talk to a Friend,latest_release:Obsessed With You}
{artist_name:FEVER33,genre:electro music,number_of_listeners:47233920,link:@FEVER33,most_popular_track:DIvision Symbols,latest_release:Alone With You}
{artist_name:Нервы,genre:classical music,number_of_listeners:86435152,link:@Нервы,most_popular_track:You for Me,latest_release:End Of Me}
{artist_name:Валерий Меладзе,genre:indie pop,number_of_listeners:35130526,link:@Валерий Меладзе,most_popular_track:Deep End,latest_release:Somewhere Only We Know}
{artist_name:Lana Del Ray,genre:electro music,number_of_listeners:96153355,link:@Lana Del Ray,most_popular_track:Paparazzi,latest_release:Rampampam}
{artist_name:Linkin Park,genre:hip hop,number_of_listeners:93024362,link:@Linkin Park,most_popular_track:Excuses,latest_release:Am I Wrong}
{artist_name:Arash,genre:pop rap,number_of_listeners:98435565,link:@Arash,most_popular_track:Experience,latest_release:Witch Hunt}
{artist_name:Enrique Iglesias,genre:pop rock,number_of_listeners:31037818,link:@Enrique Iglesias,most_popular_track:Summertime Shootout,latest_release:Montero (Call Me By Your Name)}
{artist_name:Sting,genre:metal,number_of_listeners:60062986,link:@Sting,most_popular_track:Toxicity,latest_release:Lost (reimagined)}
{artist_name:Inna,genre:metalcore,number_of_listeners:92379281,link:@Inna,most_popular_track:Shum,latest_release:Cover Me In Sunshine}
{artist_name:Rihanna,genre:hip hop,number_of_listeners:35586472,link:@Rihanna,most_popular_track:Dancing Queen,latest_release:Hall of Fame}
{artist_name:Scooter,genre:hip hop,number_of_listeners:76321944,link:@Scooter,most_popular_track:Take Me Away,latest_release:Let's Love}
{artist_name:Stray Kids,genre:rap,number_of_listeners:74920462,link:@Stray Kids,most_popular_track:Techno Disco,latest_release:Freed From Desire}
{artist_name:Måneskin,genre:folk,number_of_listeners:55454266,link:@Måneskin,most_popular_track:Some Say,latest_release:Just for me}
{artist_name:Slipknot,genre:glam rock,number_of_listeners:89521684,link:@Slipknot,most_popular_track:Lost (reimagined),latest_release:Don't Be Shy}
{artist_name:50 Cent,genre:jazz,number_of_listeners:98204292,link:@50 Cent,most_popular_track:Bury a Lie,latest_release:Lights Down}
{artist_name:Celine Dion,genre:punk rock,number_of_listeners:98282390,link:@Celine Dion,most_popular_track:Sweet Dreams,latest_release:Wrecking Ball}
{artist_name:Minelli,genre:alternative rock,number_of_listeners:16577787,link:@Minelli,most_popular_track:Circus,latest_release:Fine Line}
{artist_name:Evanescence,genre:classical music,number_of_listeners:64341513,link:@Evanescence,most_popular_track:All Star,latest_release:Don't Speak}
{artist_name:The Weeknd,genre:classic rock,number_of_listeners:31081462,link:@The Weeknd,most_popular_track:Take My Breath,latest_release:Carnival of Rust}
{artist_name:The Offspring,genre:classic rock,number_of_listeners:73614623,link:@The Offspring,most_popular_track:Goosebumps,latest_release:Survival}
{artist_name:Nirvana,genre:alternative rock,number_of_listeners:15680229,link:@Nirvana,most_popular_track:Children,latest_release:Angels Lullaby}
{artist_name:Akcent,genre:punk rock,number_of_listeners:73621890,link:@Akcent,most_popular_track:Take My Breath,latest_release:Chop Suey!}
{artist_name:Lara Fabian,genre:trap,number_of_listeners:32536363,link:@Lara Fabian,most_popular_track:Everybody,latest_release:Lying In The Sunshine}
{artist_name:K-Maro,genre:raggae,number_of_listeners:25712261,link:@K-Maro,most_popular_track:Where Is The Love?,latest_release:Reason Living}
{artist_name:The Rasmus,genre:heavy metal,number_of_listeners:38622908,link:@The Rasmus,most_popular_track:Signs (reimagined),latest_release:Toxicity}
{artist_name:Disturbed,genre:indie pop,number_of_listeners:55108515,link:@Disturbed,most_popular_track:I Hate Everything About You,latest_release:Clash}
{artist_name:Ava Max,genre:alternative rock,number_of_listeners:54454714,link:@Ava Max,most_popular_track:In The Shadows,latest_release:Breathe}
{artist_name:Pink,genre:metal,number_of_listeners:14998249,link:@Pink,most_popular_track:Mad About Bars,latest_release:Let's Love}
{artist_name:Lil Nas X,genre:gospel music,number_of_listeners:61540564,link:@Lil Nas X,most_popular_track:Your Love (9Pm),latest_release:Breathe}
{artist_name:Lady Gaga,genre:gospel music,number_of_listeners:47636440,link:@Lady Gaga,most_popular_track:Take My Breath,latest_release:Dynamite}
{artist_name:Nickelback,genre:folk,number_of_listeners:73395789,link:@Nickelback,most_popular_track:Leck,latest_release:Kiss Me More}
{artist_name:ATB,genre:glam rock,number_of_listeners:82449273,link:@ATB,most_popular_track:Hello,latest_release:Ooh Wee}
{artist_name:David Guetta,genre:r&b,number_of_listeners:37688643,link:@David Guetta,most_popular_track:Need You Now,latest_release:Numb}
{artist_name:Rammstein,genre:pop rap,number_of_listeners:25367102,link:@Rammstein,most_popular_track:Once In A While,latest_release:Fire In The Sky}
{artist_name:Alizee,genre:hip hop,number_of_listeners:40060776,link:@Alizee,most_popular_track:Yesterday,latest_release:Girls Want Girls}
{artist_name:Pitbull,genre:folk,number_of_listeners:84137874,link:@Pitbull,most_popular_track:All Star,latest_release:love nwantiti}
{artist_name:Twenty One Pilots,genre:hip hop,number_of_listeners:83300876,link:@Twenty One Pilots,most_popular_track:Firework,latest_release:Head And Heart}
{artist_name:Bryan Adams,genre:rap rock,number_of_listeners:50506607,link:@Bryan Adams,most_popular_track:Little Bit of Love,latest_release:This Is Where It Ends}
{artist_name:Selena Gomez,genre:heavy metal,number_of_listeners:66576116,link:@Selena Gomez,most_popular_track:Every Time You Turn Around,latest_release:Pump Up The Jam}
{artist_name:Doja Cat,genre:trap,number_of_listeners:91040690,link:@Doja Cat,most_popular_track:Born To Be Yours,latest_release:Clearly}
{artist_name:Whitney Houston,genre:k-pop,number_of_listeners:28017606,link:@Whitney Houston,most_popular_track:Hometown Glory,latest_release:Papercut}
{artist_name:Dj Aligator,genre:heavy metal,number_of_listeners:15901660,link:@Dj Aligator,most_popular_track:Let's Groove,latest_release:Papercut}
{artist_name:Sade,genre:hard rock,number_of_listeners:92007071,link:@Sade,most_popular_track:SOS,latest_release:You for Me}
{artist_name:Three Days Grace,genre:disco,number_of_listeners:53278329,link:@Three Days Grace,most_popular_track:Touch OFF,latest_release:Zombie}
{artist_name:Ghostemane,genre:punk rock,number_of_listeners:6202272,link:@Ghostemane,most_popular_track:Follow You,latest_release:I GUESS I'M IN LOVE}
{artist_name:Ed Sheeran,genre:funk,number_of_listeners:36501371,link:@Ed Sheeran,most_popular_track:I Feel It Coming,latest_release:All I Know So Far}
{artist_name:Justin Timberlake,genre:raggae,number_of_listeners:92672809,link:@Justin Timberlake,most_popular_track:Frozen,latest_release:Endless Love}
{artist_name:Ariana Grande,genre:classical music,number_of_listeners:79629010,link:@Ariana Grande,most_popular_track:Yesterday,latest_release:Butter}
{artist_name:Oliver Tree,genre:folk,number_of_listeners:67664093,link:@Oliver Tree,most_popular_track:By Myself,latest_release:Black Lungs}
{artist_name:Akon,genre:disco,number_of_listeners:10923552,link:@Akon,most_popular_track:Wasted,latest_release:Clean Again}
{artist_name:Moby,genre:hip hop,number_of_listeners:72431430,link:@Moby,most_popular_track:I GUESS I'M IN LOVE,latest_release:No Love (feat. Lil Wayne)}
{artist_name:Iron Maiden,genre:indie pop,number_of_listeners:11982408,link:@Iron Maiden,most_popular_track:Falling Apart,latest_release:Collard Greens}
{artist_name:Ozzy Osbourne,genre:pop,number_of_listeners:4952768,link:@Ozzy Osbourne,most_popular_track:Let's Groove,latest_release:Save Your Tears}
{artist_name:LP,genre:raggae,number_of_listeners:32049410,link:@LP,most_popular_track:Stay,latest_release:Am I Wrong}
{artist_name:Mustafa Sandal,genre:country,number_of_listeners:70246939,link:@Mustafa Sandal,most_popular_track:4 To The Floor,latest_release:Boyz N Da Club}
{artist_name:DMX,genre:pop rap,number_of_listeners:5563305,link:@DMX,most_popular_track:Tell Me Something Good (Mixed),latest_release:Bleed It Out}
{artist_name:Bon Jovi,genre:latin music,number_of_listeners:90901628,link:@Bon Jovi,most_popular_track:Kaikai Kitan,latest_release:Save Your Tears}
{artist_name:Powerwolf,genre:classic rock,number_of_listeners:11919859,link:@Powerwolf,most_popular_track:Together,latest_release:I WANT YOU BACK}
{artist_name:Manowar,genre:k-pop,number_of_listeners:72105176,link:@Manowar,most_popular_track:Secrets,latest_release:Girl Like Me}
{artist_name:Armin van Buuren,genre:classic rock,number_of_listeners:71858575,link:@Armin van Buuren,most_popular_track:Monster (reimagined),latest_release:Animal I Have Become}
{artist_name:Red Hot Chili Peppers,genre:hip hop,number_of_listeners:46139320,link:@Red Hot Chili Peppers,most_popular_track:Survival,latest_release:Don't be so shy}
{artist_name:Guns N' Roses,genre:funk,number_of_listeners:24280153,link:@Guns N' Roses,most_popular_track:love nwantiti,latest_release:Take Me Away}
{artist_name:Backstreet Boy,genre:trap,number_of_listeners:5009252,link:@Backstreet Boy,most_popular_track:Desert Rose,latest_release:Afterglow}
{artist_name:Era,genre:classical music,number_of_listeners:72999816,link:@Era,most_popular_track:Space Melody,latest_release:Strange Effect}
{artist_name:Hurts,genre:country,number_of_listeners:39356968,link:@Hurts,most_popular_track:Somewhere I Belong,latest_release:Reason Living}
{artist_name:Snoop Dogg,genre:hip hop,number_of_listeners:69940081,link:@Snoop Dogg,most_popular_track:Hands Up,latest_release:Bleed It Out}
{artist_name:Plazma,genre:rap,number_of_listeners:9725295,link:@Plazma,most_popular_track:Talk to a Friend,latest_release:BURN IT DOWN}
{artist_name:Limp Bizkit,genre:indie pop,number_of_listeners:7483583,link:@Limp Bizkit,most_popular_track:Someone You Loved,latest_release:Together}
{artist_name:XXXTentacion,genre:electro music,number_of_listeners:40990124,link:@XXXTentacion,most_popular_track:Uno,latest_release:Dreamin}
{artist_name:Lian Ross,genre:r&b,number_of_listeners:5570778,link:@Lian Ross,most_popular_track:Deep End,latest_release:Hypnodancer}
{artist_name:Crazy Frog,genre:metalcore,number_of_listeners:63976997,link:@Crazy Frog,most_popular_track:Summertime Shootout,latest_release:Sad Song}
{artist_name:Maroon 5,genre:electro music,number_of_listeners:33244635,link:@Maroon 5,most_popular_track:Wrecked,latest_release:Ways To Disappear}
{artist_name:Jennifer Lopez,genre:heavy metal,number_of_listeners:11233517,link:@Jennifer Lopez,most_popular_track:Wasting My Youth,latest_release:TRASH CANDY}
{artist_name:Benny Benassi,genre:jazz,number_of_listeners:89739650,link:@Benny Benassi,most_popular_track:U + Ur Hand,latest_release:Can't Feel My Face}
{artist_name:Justin Bieber,genre:pop,number_of_listeners:9087233,link:@Justin Bieber,most_popular_track:Visiting Hours,latest_release:Morrow}
{artist_name:Avril Lavigne,genre:folk,number_of_listeners:97144480,link:@Avril Lavigne,most_popular_track:Violent Pornography,latest_release:Summer 91 (Looking Back)}
{artist_name:Myriam Fares,genre:jazz,number_of_listeners:4113264,link:@Myriam Fares,most_popular_track:Surviving The Game,latest_release:Animal I Have Become}
{artist_name:Imany,genre:rap rock,number_of_listeners:43692777,link:@Imany,most_popular_track:Wannabe,latest_release:Atlas Falls}
{artist_name:Nightwish,genre:trap,number_of_listeners:72427011,link:@Nightwish,most_popular_track:drivers license,latest_release:Diego}
{artist_name:Korn,genre:electro music,number_of_listeners:87050430,link:@Korn,most_popular_track:Livin' In A World Without You,latest_release:Out Out}
{artist_name:Nancy Ajram,genre:heavy metal,number_of_listeners:45739088,link:@Nancy Ajram,most_popular_track:Witch,latest_release:Whenever Wherever}
{artist_name:Katy Perry,genre:rave,number_of_listeners:61134431,link:@Katy Perry,most_popular_track:Forgotten,latest_release:I Hate Everything About You}
{artist_name:Haddaway,genre:funk,number_of_listeners:68389071,link:@Haddaway,most_popular_track:I Love You I Hate You,latest_release:When You're Out}
{artist_name:George Michael,genre:metal,number_of_listeners:29639157,link:@George Michael,most_popular_track:You & I,latest_release:Mamacita}
{artist_name:Ice Mc,genre:latin music,number_of_listeners:87243257,link:@Ice Mc,most_popular_track:Why Do You Lie To Me,latest_release:Dance Monkey}
{artist_name:Evan Band,genre:funk,number_of_listeners:26228098,link:@Evan Band,most_popular_track:I Only Have Eyes For You,latest_release:Habits}
{artist_name:Bruno Mars,genre:electro music,number_of_listeners:92494904,link:@Bruno Mars,most_popular_track:Mood Ring,latest_release:Am I Wrong}
{artist_name:Space,genre:hard rock,number_of_listeners:74117679,link:@Space,most_popular_track:The Funeral,latest_release:Cover Me In Sunshine}
{artist_name:Dava,genre:k-pop,number_of_listeners:49349254,link:@Dava,most_popular_track:Better Days,latest_release:Somewhere I Belong}
{artist_name:Halsey,genre:hard rock,number_of_listeners:59661967,link:@Halsey,most_popular_track:Hurricane,latest_release:Another love}
{artist_name:Lil Peep,genre:latin music,number_of_listeners:97728356,link:@Lil Peep,most_popular_track:Iron,latest_release:The Only One I Know}
{artist_name:Travis Scott,genre:pop rock,number_of_listeners:30127823,link:@Travis Scott,most_popular_track:Atlas Falls,latest_release:Love Tonight}
{artist_name:Xcho,genre:pop,number_of_listeners:25376780,link:@Xcho,most_popular_track:The Sun,latest_release:You Don't Know}
{artist_name:Black Eyed Peas,genre:disco,number_of_listeners:98183341,link:@Black Eyed Peas,most_popular_track:You and I,latest_release:You and I}
{artist_name:System of a Down,genre:metal,number_of_listeners:39531606,link:@System of a Down,most_popular_track:Remember,latest_release:Hear My Voice}
{artist_name:Escape,genre:rave,number_of_listeners:47724627,link:@Escape,most_popular_track:Another Brick In The Wall,latest_release:Numb}
{artist_name:Jason Derulo,genre:gospel music,number_of_listeners:72524017,link:@Jason Derulo,most_popular_track:Born To Be Yours,latest_release:One Step Closer}
{artist_name:Nataliya,genre:heavy metal,number_of_listeners:4981354,link:@Nataliya,most_popular_track:Love Me Tender,latest_release:Toxicity}
{artist_name:ZZ Top,genre:metal,number_of_listeners:81884768,link:@ZZ Top,most_popular_track:When My Blue Moon Turns To Gold Again,latest_release:Everybody}
{artist_name:Rafet El Roman,genre:pop rap,number_of_listeners:27151153,link:@Rafet El Roman,most_popular_track:Holiday,latest_release:Never Going Home}
{artist_name:Enya,genre:hip hop,number_of_listeners:79045903,link:@Enya,most_popular_track:Somewhere Only We Know,latest_release:Painkiller}
{artist_name:Nelly Furtado,genre:indie pop,number_of_listeners:95215248,link:@Nelly Furtado,most_popular_track:Lost (reimagined),latest_release:Take Me Away}
{artist_name:Marilyn Manson,genre:punk rock,number_of_listeners:28218285,link:@Marilyn Manson,most_popular_track:Eye Opener,latest_release:Rumors}
{artist_name:H.I.M,genre:rock,number_of_listeners:31180089,link:@H.I.M,most_popular_track:Carnival of Rust,latest_release:Shut Up and Dance}
{artist_name:Calvin Harris,genre:heavy metal,number_of_listeners:16889216,link:@Calvin Harris,most_popular_track:Can't Come To The Phone,latest_release:Sympathy}
{artist_name:Anastacia,genre:k-pop,number_of_listeners:84004234,link:@Anastacia,most_popular_track:Dakiti,latest_release:Some Say}
{artist_name:Turbotronic,genre:classic rock,number_of_listeners:47780191,link:@Turbotronic,most_popular_track:Oh My Darling,latest_release:Human}
{artist_name:Judas Priest,genre:gospel music,number_of_listeners:8901130,link:@Judas Priest,most_popular_track:Dancing On Dangerous,latest_release:Weekend}
{artist_name:A-ha,genre:k-pop,number_of_listeners:13369862,link:@A-ha,most_popular_track:One Step Closer,latest_release:Late At Night}
